name,ABV,IBU,SRM,Rating,
Samuel Adams Longshot Dortmunder Style Export,0.055,27,5,53,
Samuel Adams Imperial Double Bock,0.095,21,16,50,
Samuel Adams Longshot Grape Pale Ale,0.0535,5,5,33,
Samuel Adams Summer Ale,0.053,23,5,64,
Samuel Adams White Ale,0.054,15,3,64,
Samuel Adams Blackberry Witbier,0.055,5,5,38,
Samuel Adams Holiday Porter,0.058,27,25,78,
Samuel Adams Longshot Mile High Barleywine,0.098,52,15,85,
Samuel Adams Triple Bock,0.18,52,15,35,
Samuel Adams Boston Ale,0.051,32,8,61,
Samuel Adams Noble Pils,0.052,33,4,81,
Samuel Adams Brown Ale,0.054,30,27,67,
Samuel Adams James Madison Dark Wheat Ale,0.057,14,19,50,
Samuel Adams Cherry Wheat,0.054,5,6,33,
Samuel Adams Cranberry Lambic,0.059,5,5,21,
Samuel Adams Rauch Bier,0.05,25,17,55,
Samuel Adams Coffee Stout,0.058,55,35,66,
Samuel Adams Cream Stout,0.049,55,29,86,
Samuel Adams Vienna Style,0.049,24,13,65,
Mackeson Xxx Stout,0.049,55,35,90,
Samuel Adams Longshot Old Ben Ale,0.09,45,16,85,
Samuel Adams Imperial Pilsner,0.088,35,4,90,
Samuel Adams India Pale Ale (ipa),0.059,50,11,71,
Samuel Adams George Washington Porter,0.057,27,25,55,
Samuel Adams Honey Porter,0.053,27,25,61,
Samuel Adams Black Lager,0.049,27,45,80,
Samuel Adams Scotch Ale,0.054,18,13,73,
Samuel Adams Longshot Weizenbock,0.072,22,17,88,
Samuel Adams Winter Lager,0.058,22,17,78,
Samuel Adams Coastal Wheat,0.053,23,6,35,
Samuel Adams Hefeweizen,0.054,23,5,59,
Samuel Adams Utopias,0.27,52,15,90,
Samuel Adams Boston Lager,0.049,20,4,67,
Sam Adams Light,0.041,20,4,23,
Samuel Adams Irish Red Ale,0.055,23,10,60,
Harpoon 100 Barrel Series #30 – Island Creek Oyster Stout,0.045,37,32,50,
Harpoon 100 Barrel Series #04 - Barleywine,0.103,52,15,73,
Harpoon 100 Barrel Series #10 - Triticus,0.115,52,15,88,
Harpoon Belgian Pale Ale,0.059,25,6,73,
Harpoon Ufo White,0.048,15,4,48,
Harpoon Leviathan Imperial IPA,0.1,90,12,88,
Harpoon Munich Dark,0.056,23,21,75,
Harpoon Summer Beer,0.05,25,6,38,
Harpoon 100 Barrel Series #30 - Island Creek Oyster Stout,0.055,55,35,86,
Harpoon IPA,0.059,50,8,80,
Harpoon Celtic Ale,0.054,25,8,65,
Harpoon Octoberfest,0.055,24,11,66,
Harpoon 100 Barrel Series #22 - Steve Stewarts Firth Of Forth,0.054,18,13,68,
Harpoon 100 Barrel Series #08 - Smoked Porter,0.057,25,17,76,
Harpoon Brown,0.052,30,27,50,
Ufo Hefeweizen,0.048,19,6,85,
